id;name;POP_ABITANTI
;"Poliambulatorio ""Stefania Bellone""";5.201.791,573
;Presidio Ospedaliero Cardinale Ascalesi;4.987.501,125
;Clinica Hera;3.814.354,906
;"Ospedale Civile di Frattamaggiore ""San Giovanni di Dio""";3.617.208,868
;Ospedale Evangelico Villa Betania;2.988.083,407
;Presidio Ospedaliero Pausillipon;2.698.749,869
;Presidio Sanitario Raffaele Apicella;2287317,189
;Villa dei Fiori;1.719.776,172
;Clinica Villa Stabia;1.269.583,729
;Ospedale Nuovo di Gragnano;1.259.776,755
;Ospedale San Leonardo;1.255.503,730
;Ospedale Capilupi;1.181.789,702
;Ospedale Civile di Boscotrecase;1.054.697,785
;Ospedale Nola;791.573,079
;Ospedale Santa Maria delle Grazie;782.640,229
;Ospedale Antonio Cardarelli;651.462,100
;Ospedale Cotugno;629.022,286
;Ospedale Vincenzo Monaldi;596.910,147
;Presidio Ospedaliero «Santissima Annunziata»;501.653,398
;Ospedale Santa Maria di Loreto Mare;481.851,600
;Ospedale A. Rizzoli;438.810,182
;Ospedale Santa Maria della Pietà;401.625,891
;San Giuliano;363.885,398
;Ospedale del Mare;299.963,866
;Ospedale San Paolo;298.034,647
;Ospedale del Mare;295.874,712
;Clinica San Felice;181903,100
;Centro Traumatologico Ortopedico;59.593,035
;Ospedale San Giovanni Bosco;55.575,838
;Ospedale di Sorrento;53.950,266
;Distretto Sanitario di Villaricca (DS 39);31.120,441
;Ospedale Fatebenefratelli;27.815,020
