id;name;POP_ABITANTI
;"Poliambulatorio ""Stefania Bellone""";5.201.791,57
;Presidio Ospedaliero Cardinale Ascalesi;4.987.501,13
;Clinica Hera;3.814.354,91
;"Ospedale Civile di Frattamaggiore ""San Giovanni di Dio""";3.617.208,87
;Ospedale Evangelico Villa Betania;2.988.083,41
;Presidio Ospedaliero Pausillipon;2.698.749,87
;Presidio Sanitario Raffaele Apicella;2287317,189
;Villa dei Fiori;1.719.776,17
;Clinica Villa Stabia;1.269.583,73
;Ospedale Nuovo di Gragnano;1.259.776,76
;Ospedale San Leonardo;1.255.503,73
;Ospedale Capilupi;1.181.789,70
;Ospedale Civile di Boscotrecase;1.054.697,79
;;791.573,08
;Ospedale Santa Maria delle Grazie;782.640,23
;Ospedale Antonio Cardarelli;651.462,10
;Ospedale Cotugno;629.022,29
;Ospedale Vincenzo Monaldi;596.910,15
;Presidio Ospedaliero «Santissima Annunziata»;501.653,40
;Ospedale Santa Maria di Loreto Mare;481.851,60
;Ospedale A. Rizzoli;438.810,18
;Ospedale Santa Maria della Pietà;401.625,89
;San Giuliano;363.885,40
;Ospedale del Mare;299.963,87
;Ospedale San Paolo;298.034,65
;Ospedale del Mare;295.874,71
;Clinica San Felice;181903,1
;Centro Traumatologico Ortopedico;59.593,04
;Ospedale San Giovanni Bosco;55.575,84
;Ospedale di Sorrento;53.950,27
;Distretto Sanitario di Villaricca (DS 39);31.120,44
;Ospedale Fatebenefratelli;27.815,02
